clip_id,meeting_date,title,status,error,output_dir,updated_at
288,2025-07-02,Planning Commission,downloading,,,2026-03-19T15:25:41.163510
289,2025-07-09,Board of Supervisors,downloading,,,2026-03-19T16:00:38.952105
290,2025-08-06,Planning Commission,downloading,,,2026-03-19T16:27:44.968122
291,2025-08-13,Board of Supervisors,downloading,,,2026-03-19T16:45:09.109338
292,2025-09-03,Planning Commission,downloading,,,2026-03-19T17:18:55.633474
293,2025-09-10,Board of Supervisors,downloading,,,2026-03-19T17:45:17.387597
294,2025-09-24,Board of Supervisors,downloading,,,2026-03-19T18:30:02.512592
295,2025-10-01,Board of Supervisors,downloading,,,2026-03-19T19:05:31.979261
297,2025-10-01,Planning Commission,downloading,,,2026-03-19T20:17:04.420075
299,2025-10-08,Board of Supervisors,downloading,,,2026-03-19T20:23:38.576655
300,2025-10-22,Board of Supervisors,downloading,,,2026-03-19T21:03:59.364146
301,2025-10-22,Board of Supervisors,downloading,,,2026-03-19T21:27:34.503379
302,2025-11-05,Board of Supervisors,downloading,,,2026-03-19T21:50:06.684207
303,2025-11-05,Planning Commission,downloading,,,2026-03-19T21:55:20.572259
304,2025-11-05,Planning Commission,downloading,,,2026-03-19T21:59:51.143893
305,2025-11-12,Board of Supervisors,downloading,,,2026-03-19T22:12:48.177713
306,2025-12-03,Planning Commission,downloading,,,2026-03-19T22:32:06.428872
307,2025-12-10,Board of Supervisors,downloading,,,2026-03-19T23:01:22.160120
